url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,73,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip ToeRoddy Ricch Featuring A Boogie Wit da Hoodie,1,83,73,2
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,27,Trampoline,SHAED,TrampolineSHAED,1,19,13,28
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,23,Truth Hurts,Lizzo,Truth HurtsLizzo,1,22,1,32
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,56,Heat,Chris Brown Featuring Gunna,HeatChris Brown Featuring Gunna,1,55,36,15
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,5,Good As Hell,Lizzo,Good As HellLizzo,1,6,3,16
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,33,Hot,Young Thug Featuring Gunna,HotYoung Thug Featuring Gunna,1,26,11,17
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,40,Lover,Taylor Swift,LoverTaylor Swift,1,32,10,17
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,45,On Chill,Wale Featuring Jeremih,On ChillWale Featuring Jeremih,1,35,22,18
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,89,Easy,DaniLeigh Featuring Chris Brown,EasyDaniLeigh Featuring Chris Brown,1,90,88,6
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,99,Cuban Links,Rod Wave & Kevin Gates,Cuban LinksRod Wave & Kevin Gates,1,92,92,3
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,64,Death,Trippie Redd Featuring DaBaby,DeathTrippie Redd Featuring DaBaby,1,64,59,4
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,77,Kinfolks,Sam Hunt,KinfolksSam Hunt,1,77,62,9
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,6,Roxanne,Arizona Zervas,RoxanneArizona Zervas,1,7,5,6
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,69,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock","Leave Em AloneLayton Greene, Lil Baby, City Girls & PnB Rock",1,65,60,10
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,71,Heartache Medication,Jon Pardi,Heartache MedicationJon Pardi,1,71,67,11
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,7,Memories,Maroon 5,MemoriesMaroon 5,1,5,4,12
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,19,No Guidance,Chris Brown Featuring Drake,No GuidanceChris Brown Featuring Drake,1,14,5,27
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,42,Don't Start Now,Dua Lipa,Don't Start NowDua Lipa,1,42,30,6
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,68,Ridin' Roads,Dustin Lynch,Ridin' RoadsDustin Lynch,1,69,68,6
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,75,Vete,Bad Bunny,VeteBad Bunny,1,63,33,3
